care_site_id,care_site_name,place_of_service_concept_id,location_id,care_site_source_value,place_of_service_source_value
1354,,8940,,863390313, 
1371,,8940,,331831049, 
1384,,8940,,046983435, 
1400,,8940,,584165494, 
1417,,8940,,460382625, 
1433,,8940,,151175849, 
1452,,8940,,056072793, 
1465,,8940,,599100571, 
1481,,8940,,745534960, 
1496,,8940,,943407045, 
1515,,8756,,1402SB,Outpatient Facility
1529,,8940,,412298016, 
1544,,8940,,101517669, 
1563,,8940,,527427849, 
1579,,8940,,854182287, 
1594,,8756,,2300RB,Outpatient Facility
1610,,8940,,162576775, 
1626,,8940,,124088012, 
1642,,8940,,979741530, 
1658,,8940,,576336096, 
1672,,8940,,762340086, 
1691,,8940,,856962736, 
1702,,8940,,853802378, 
1720,,8940,,500679724, 
1739,,8940,,772546115, 
1753,,8940,,423230930, 
1771,,8940,,956052563, 
1788,,8940,,577989358, 
1803,,8940,,461477766, 
1817,,8940,,933451457, 
1834,,8940,,209531337, 
1848,,8940,,313848542, 
1868,,8940,,802799166, 
1883,,8940,,692178328, 
1899,,8940,,124211727, 
1914,,8940,,870626550, 
1931,,8756,,2400DG,Outpatient Facility
1945,,8940,,797310926, 
1963,,8940,,360911909, 
1976,,8940,,566258582, 
1996,,8940,,577609605, 
2010,,8940,,059881618, 
2026,,8940,,024536037, 
2041,,8756,,2200YC,Outpatient Facility
2056,,8940,,903948254, 
2074,,8940,,755161876, 
2090,,8940,,869020306, 
2107,,8940,,400479569, 
2121,,8940,,505976860, 
2136,,8940,,372405051, 
2154,,8940,,073768879, 
2170,,8940,,235763157, 
2185,,8940,,288358702, 
2200,,8940,,620165917, 
2216,,8940,,724157756, 
2235,,8940,,325310319, 
2247,,8756,,0501GK,Outpatient Facility
2267,,8940,,049656870, 
2281,,8940,,910651819, 
2297,,8756,,3401SD,Outpatient Facility
2312,,8940,,738799482, 
2327,,8940,,224922241, 
2346,,8940,,304854758, 
2362,,8940,,906499271, 
2379,,8940,,042731101, 
2393,,8940,,813688276, 
2412,,8940,,646182542, 
2425,,8940,,928654813, 
2442,,8940,,995580648, 
2456,,8940,,744938851, 
2472,,8940,,770222163, 
2487,,8940,,928582833, 
2507,,8940,,081010225, 
2520,,8940,,242959025, 
2537,,8940,,233821653, 
2553,,8940,,095417011, 
2569,,8940,,831516732, 
2587,,8940,,542085994, 
2602,,8756,,06256B,Outpatient Facility
2620,,8940,,995093075, 
2633,,8940,,076959645, 
2648,,8940,,119449781, 
2664,,8756,,2713VB,Outpatient Facility
2683,,8940,,824056298, 
2698,,8940,,638186032, 
2714,,8940,,673687877, 
2730,,8756,,0725JB,Outpatient Facility
2745,,8940,,134016295, 
2761,,8940,,277711810, 
2776,,8940,,853107978, 
2792,,8940,,964197082, 
2807,,8940,,364671015, 
2825,,8940,,673639251, 
2842,,8940,,816671375, 
2856,,8940,,407831037, 
2874,,8940,,129236831, 
2889,,8940,,279937404, 
2907,,8940,,162474497, 
2919,,8940,,353112919, 
2938,,8756,,0313RP,Outpatient Facility
2953,,8940,,583102296, 
2970,,8940,,610897726, 
2985,,8940,,221497250, 
3001,,8756,,0300BB,Outpatient Facility
3017,,8940,,092131575, 
3035,,8940,,477763120, 
3052,,8940,,761292222, 
3066,,8940,,467507130, 
3081,,8940,,711688241, 
3096,,8940,,408564504, 
3116,,8940,,043568157, 
3128,,8940,,207408613, 
3147,,8940,,768898769, 
3162,,8940,,361780757, 
3178,,8756,,2500UN,Outpatient Facility
3195,,8940,,018307686, 
3208,,8940,,153559367, 
3227,,8940,,187317200, 
3240,,8940,,386507153, 
3258,,8940,,941200511, 
3275,,8940,,360598233, 
3290,,8940,,434462944, 
3307,,8940,,627863832, 
3321,,8940,,933128436, 
3337,,8756,,3901HN,Outpatient Facility
3354,,8756,,3400BT,Outpatient Facility
3371,,8940,,291485033, 
3388,,8940,,201984777, 
3404,,8940,,822919082, 
3419,,8940,,962595899, 
3433,,8940,,949251675, 
3451,,8940,,698787902, 
3465,,8940,,889280940, 
3481,,8940,,283832940, 
3499,,8940,,769923493, 
3512,,8940,,731402872, 
3529,,8940,,913549883, 
3546,,8756,,3601KC,Outpatient Facility
3562,,8940,,127050288, 
3577,,8940,,487379361, 
3596,,8756,,0825HH,Outpatient Facility
3609,,8940,,980557946, 
3626,,8756,,4900XT,Outpatient Facility
3641,,8940,,905933043, 
3657,,8940,,749650988, 
3673,,8940,,006920327, 
3688,,8940,,939237974, 
3707,,8940,,759177010, 
3723,,8940,,276892483, 
3737,,8940,,233714858, 
3755,,8940,,418306755, 
3769,,8940,,472663237, 
3785,,8940,,441410109, 
3801,,8940,,877550766, 
3818,,8940,,742415757, 
3835,,8940,,921968103, 
3848,,8940,,460996946, 
3865,,8940,,451620892, 
3881,,8940,,059266154, 
3899,,8940,,456975503, 
3915,,8940,,769889012, 
3927,,8940,,459027015, 
3947,,8756,,1902ZJ,Outpatient Facility
3963,,8940,,374544041, 
3978,,8940,,480945844, 
3993,,8940,,254373494, 
4012,,8756,,3300SR,Outpatient Facility
4026,,8940,,624888949, 
4043,,8940,,137802060, 
4056,,8940,,457295452, 
4073,,8940,,746177110, 
4088,,8940,,027738034, 
4106,,8940,,681189541, 
4121,,8940,,352114395, 
4136,,8940,,347705996, 
4153,,8940,,369705568, 
4170,,8940,,834771831, 
4186,,8940,,495817953, 
4202,,8940,,053393317, 
4217,,8940,,517659008, 
4236,,8940,,894392043, 
4251,,8940,,826558672, 
4268,,8940,,383384252, 
4282,,8940,,632475156, 
4299,,8940,,346931345, 
4312,,8940,,348401296, 
4330,,8940,,324131181, 
4345,,8940,,952832239, 
4363,,8756,,0500AM,Outpatient Facility
4379,,8940,,401303337, 
4393,,8940,,754534348, 
4409,,8940,,935232258, 
4428,,8940,,481049895, 
4441,,8940,,078359863, 
4457,,8940,,730553715, 
4472,,8940,,215135027, 
4489,,8940,,814395069, 
4503,,8940,,722683678, 
4522,,8940,,741059106, 
4537,,8940,,354692907, 
4556,,8940,,897560622, 
4571,,8756,,3413RQ,Outpatient Facility
4584,,8940,,214649053, 
4603,,8756,,4000KQ,Outpatient Facility
4616,,8940,,047234961, 
4630,,8940,,273323625, 
4652,,8940,,753700153, 
4667,,8940,,020394145, 
4680,,8940,,463551794, 
4697,,8940,,493312336, 
4713,,8756,,0401HH,Outpatient Facility
4728,,8940,,915251381, 
4744,,8940,,153610099, 
4764,,8940,,603490435, 
4776,,8940,,327643538, 
4794,,8756,,3302BQ,Outpatient Facility
4809,,8940,,053712676, 
4827,,8940,,609312484, 
4841,,8940,,648295505, 
4858,,8940,,927420861, 
4875,,8940,,828852290, 
4887,,8940,,276295656, 
4905,,8940,,330154430, 
4922,,8940,,793508232, 
4940,,8940,,339388550, 
4955,,8940,,821127934, 
4969,,8940,,149312653, 
4985,,8940,,222576829, 
5003,,8717,,17S1XA,Inpatient Facility
5016,,8940,,337775893, 
5032,,8940,,246382574, 
5050,,8940,,960804431, 
5066,,8940,,474558276, 
5082,,8940,,287613825, 
5096,,8940,,353462493, 
5113,,8940,,389348883, 
5132,,8940,,179305583, 
5144,,8940,,493100866, 
5162,,8940,,269243627, 
5176,,8940,,378367880, 
5194,,8940,,305851426, 
5211,,8940,,066684789, 
5226,,8940,,840928880, 
5242,,8940,,627073254, 
5258,,8940,,835897915, 
5274,,8756,,6725DH,Outpatient Facility
5289,,8940,,895158986, 
5304,,8940,,470217310, 
5321,,8940,,552838265, 
5335,,8940,,986163622, 
5355,,8756,,0513GG,Outpatient Facility
5369,,8940,,868300817, 
5385,,8940,,967131192, 
5401,,8940,,296197310, 
5418,,8940,,030748585, 
5435,,8940,,490934731, 
5449,,8756,,1102UR,Outpatient Facility
5468,,8940,,589672720, 
5483,,8940,,112883992, 
5499,,8940,,561557812, 
5513,,8940,,569624434, 
5531,,8756,,2100QC,Outpatient Facility
5544,,8940,,509465544, 
5563,,8940,,208737609, 
5580,,8940,,767782494, 
5592,,8756,,2400CN,Outpatient Facility
5609,,8940,,471343980, 
5624,,8940,,638126566, 
5640,,8940,,987873523, 
5658,,8756,,42006A,Outpatient Facility
5674,,8940,,761166995, 
5689,,8940,,589434952, 
5705,,8940,,027972997, 
5722,,8940,,615633795, 
5738,,8940,,475296802, 
5755,,8940,,292648146, 
5770,,8756,,2300VV,Outpatient Facility
5785,,8940,,500130356, 
5800,,8940,,276773944, 
5818,,8940,,118709417, 
5834,,8940,,501792208, 
5850,,8940,,803927014, 
5867,,8940,,553428925, 
5879,,8940,,457140349, 
5898,,8940,,242966415, 
5914,,8940,,599981201, 
5930,,8940,,093692614, 
5945,,8940,,469448865, 
5963,,8940,,835647838, 
5977,,8940,,389490230, 
5993,,8940,,539889066, 
6008,,8940,,844409953, 
6026,,8940,,804630979, 
6041,,8940,,500805818, 
6056,,8940,,308548724, 
6073,,8940,,333565697, 
6089,,8756,,5201DH,Outpatient Facility
6105,,8940,,404479877, 
6123,,8940,,215880025, 
6137,,8940,,006556917, 
6153,,8940,,548283204, 
6168,,8940,,556950971, 
6186,,8940,,904555567, 
6201,,8940,,991988769, 
6217,,8940,,860537249, 
6233,,8940,,113989395, 
6249,,8940,,166371721, 
6267,,8940,,785022263, 
6282,,8940,,687911048, 
6298,,8940,,028661760, 
6314,,8940,,156460365, 
6330,,8717,,3500YK,Inpatient Facility
6346,,8940,,520368508, 
6360,,8940,,268408778, 
6376,,8940,,541015665, 
6395,,8940,,368696884, 
6410,,8940,,977556912, 
6426,,8940,,111068340, 
6441,,8940,,025893336, 
6458,,8940,,234619501, 
6475,,8940,,181007570, 
6491,,8717,,4400TC,Inpatient Facility
6505,,8940,,158570177, 
6524,,8940,,942026020, 
6537,,8940,,144551467, 
6554,,8940,,904477557, 
6570,,8940,,637163965, 
6584,,8756,,1001GJ,Outpatient Facility
6601,,8940,,112966277, 
6617,,8940,,480029502, 
6636,,8717,,3300JQ,Inpatient Facility
6647,,8940,,929579379, 
6665,,8940,,639477225, 
6682,,8940,,281589046, 
6700,,8940,,864602086, 
6713,,8940,,800814188, 
6729,,8940,,494383562, 
6744,,8940,,327568924, 
6762,,8940,,006701211, 
6776,,8940,,326154149, 
6790,,8940,,227021220, 
6807,,8756,,33T2BA,Outpatient Facility
6825,,8940,,559039445, 
6839,,8940,,078243127, 
6857,,8940,,423412283, 
6875,,8756,,39206S,Outpatient Facility
6889,,8940,,487322892, 
6903,,8940,,800572285, 
6925,,8756,,3600XS,Outpatient Facility
6938,,8940,,882871745, 
6953,,8940,,913164579, 
6969,,8940,,168970528, 
6986,,8940,,846261856, 
7001,,8940,,614205186, 
7019,,8940,,943561865, 
7033,,8940,,489364363, 
7050,,8940,,960447151, 
7064,,8940,,690057274, 
7084,,8717,,1500QB,Inpatient Facility
7095,,8940,,075249777, 
7114,,8940,,021492594, 
7131,,8940,,556902110, 
7143,,8940,,359700692, 
7161,,8756,,3100CP,Outpatient Facility
7179,,8940,,043473484, 
7191,,8940,,254269657, 
7210,,8940,,613488177, 
7225,,8940,,209318865, 
7243,,8940,,159162701, 
7259,,8940,,239001441, 
7275,,8940,,383064434, 
7288,,8940,,908013711, 
7306,,8940,,300811943, 
7321,,8756,,01006V,Outpatient Facility
7335,,8940,,209318882, 
7353,,8940,,767643464, 
7370,,8940,,782194894, 
7387,,8940,,179975635, 
7400,,8940,,112721809, 
7419,,8940,,482052177, 
7436,,8940,,980623507, 
7449,,8940,,338735335, 
7464,,8940,,437908378, 
7483,,8756,,5125VD,Outpatient Facility
7497,,8940,,852915644, 
7514,,8940,,846311201, 
7529,,8756,,1801KT,Outpatient Facility
7548,,8940,,760833045, 
7563,,8940,,105317727, 
7577,,8940,,447706402, 
7593,,8940,,501975760, 
7613,,8940,,204842210, 
7624,,8940,,437567313, 
7642,,8940,,590157710, 
7657,,8940,,393351039, 
7675,,8940,,920966972, 
7689,,8940,,250904369, 
7706,,8940,,200623039, 
7723,,8940,,856885177, 
7737,,8940,,121856492, 
7753,,8940,,777272450, 
7769,,8940,,098674097, 
7784,,8940,,624515537, 
7802,,8940,,486882760, 
7818,,8940,,163106736, 
7834,,8940,,633818265, 
7850,,8940,,040519683, 
7865,,8756,,4238PT,Outpatient Facility
7881,,8940,,444444460, 
7897,,8940,,715558940, 
7917,,8940,,322181341, 
7930,,8940,,068478321, 
7944,,8940,,335663710, 
7960,,8940,,649263709, 
7981,,8940,,351191676, 
7991,,8940,,433361497, 
8012,,8940,,324834644, 
8024,,8940,,159200072, 
8040,,8940,,324289705, 
8059,,8940,,013271844, 
8072,,8940,,727667624, 
8091,,8940,,786327643, 
8106,,8940,,672898979, 
8122,,8940,,487338888, 
8137,,8940,,545885753, 
8153,,8940,,104978475, 
8170,,8940,,137575095, 
8185,,8940,,639523971, 
8200,,8940,,983356186, 
8217,,8940,,684730034, 
8231,,8940,,926093838, 
8250,,8940,,701874509, 
8265,,8940,,898343317, 
8282,,8940,,836344840, 
8298,,8940,,825942912, 
8312,,8940,,223849904, 
8327,,8940,,570484432, 
8344,,8940,,347089393, 
8363,,8940,,800008060, 
8378,,8940,,609498361, 
8393,,8940,,842524878, 
8410,,8940,,298741295, 
8426,,8940,,705972132, 
8440,,8940,,712571370, 
8456,,8940,,902078749, 
8474,,8940,,425929585, 
8490,,8940,,200620898, 
8502,,8940,,571468451, 
8523,,8940,,377914621, 
8537,,8940,,246584966, 
8553,,8940,,473028918, 
8570,,8940,,019500589, 
8585,,8940,,872943083, 
8601,,8940,,994651690, 
8619,,8940,,353054929, 
8632,,8756,,4401GN,Outpatient Facility
8650,,8940,,077603205, 
8666,,8940,,133699208, 
8681,,8940,,402668128, 
8701,,8940,,257258782, 
8712,,8940,,554082904, 
8730,,8756,,0506KJ,Outpatient Facility
8748,,8940,,587315619, 
8762,,8940,,141354106, 
8778,,8940,,381479372, 
8793,,8940,,049345387, 
8810,,8940,,457013818, 
8825,,8940,,173784745, 
8841,,8940,,108744787, 
8857,,8940,,858817110, 
8875,,8940,,100689738, 
8890,,8940,,658253373, 
8906,,8940,,480413995, 
8921,,8940,,264330394, 
8937,,8940,,209124970, 
8954,,8940,,061484634, 
8970,,8940,,502800905, 
8985,,8940,,933062427, 
9002,,8940,,449126697, 
9017,,8940,,974482311, 
9031,,8940,,795924808, 
9049,,8940,,467875948, 
9065,,8717,,05016C,Inpatient Facility
9080,,8940,,956749852, 
9099,,8756,,2302MV,Outpatient Facility
9113,,8940,,714974401, 
9131,,8940,,575012281, 
9145,,8940,,482638716, 
9162,,8940,,714243886, 
9175,,8940,,737976983, 
9193,,8940,,746039326, 
9209,,8940,,565531128, 
9228,,8940,,071433894, 
9243,,8940,,374291802, 
9258,,8940,,039952268, 
9274,,8940,,137628946, 
9293,,8940,,988838025, 
9305,,8940,,828890302, 
9322,,8940,,754106754, 
9339,,8940,,298315951, 
9354,,8940,,832283784, 
9369,,8756,,3323SU,Outpatient Facility
9386,,8940,,380757519, 
9403,,8940,,027656585, 
9416,,8940,,152061258, 
9432,,8940,,578403865, 
9450,,8940,,036686288, 
9465,,8940,,327422444, 
9484,,8940,,311950337, 
9498,,8940,,284656003, 
9512,,8940,,768013856, 
9526,,8940,,436166115, 
9548,,8940,,226506754, 
9561,,8940,,346691681, 
9579,,8940,,798959677, 
9593,,8940,,532938119, 
9609,,8940,,100853217, 
9628,,8940,,383737813, 
9641,,8940,,681043435, 
9657,,8940,,045186045, 
9672,,8940,,297056857, 
9685,,8940,,948331575, 
9697,,8940,,846969393, 
9715,,8940,,855652887, 
9732,,8940,,035695405, 
9748,,8940,,178720473, 
9763,,8940,,476417559, 
9777,,8940,,785766958, 
9795,,8940,,811003735, 
9811,,8940,,350779102, 
9828,,8940,,510663118, 
9842,,8940,,066023350, 
9861,,8940,,189945972, 
9876,,8940,,066598295, 
9891,,8940,,245043583, 
9908,,8940,,386403528, 
9921,,8756,,3600PQ,Outpatient Facility
9935,,8940,,532199775, 
9956,,8940,,383759930, 
9971,,8940,,310101259, 
9988,,8940,,277553165, 
10002,,8940,,088508440, 
10018,,8940,,980628316, 
10034,,8940,,213208802, 
10051,,8940,,128259906, 
10067,,8940,,581459172, 
10084,,8940,,373377366, 
10099,,8940,,785549251, 
10113,,8940,,514434505, 
10131,,8940,,115049705, 
10146,,8940,,903728923, 
10163,,8940,,360750773, 
10179,,8940,,328872827, 
10194,,8940,,786712091, 
10210,,8940,,120658306, 
10227,,8940,,733680185, 
10244,,8940,,089403418, 
10260,,8940,,197751242, 
10275,,8940,,851230996, 
10292,,8940,,557286683, 
10307,,8940,,841005483, 
10323,,8940,,382735380, 
10339,,8940,,014683471, 
10353,,8940,,387798842, 
10374,,8940,,248392081, 
10386,,8940,,969943463, 
10400,,8940,,595586172, 
10417,,8940,,856677766, 
10432,,8940,,809376701, 
10451,,8940,,062726131, 
10464,,8940,,145489371, 
10482,,8940,,590053343, 
10498,,8940,,249795070, 
10512,,8940,,977878453, 
10531,,8756,,1500CM,Outpatient Facility
10545,,8940,,263110786, 
10563,,8940,,883822421, 
10577,,8756,,11138U,Outpatient Facility
10593,,8940,,790731734, 
10610,,8756,,4439DJ,Outpatient Facility
10625,,8940,,383566394, 
10642,,8940,,382118012, 
10658,,8940,,583090136, 
10672,,8940,,818085273, 
10688,,8940,,499158808, 
10709,,8940,,002767036, 
10724,,8940,,047017191, 
10738,,8940,,875983819, 
10752,,8940,,286950213, 
10768,,8940,,160739210, 
10784,,8940,,257739693, 
10801,,8940,,186488756, 
10817,,8940,,236259772, 
10833,,8756,,4506TV,Outpatient Facility
10847,,8940,,693738960, 
10864,,8940,,454291782, 
10879,,8940,,953728460, 
10895,,8940,,950269917, 
10911,,8940,,509331592, 
10925,,8940,,445378411, 
10943,,8940,,012887510, 
10959,,8940,,921668202, 
10976,,8756,,2313GN,Outpatient Facility
10994,,8940,,956090090, 
11009,,8940,,248223497, 
11025,,8940,,632988469, 
11037,,8940,,726774436, 
11056,,8756,,2013NQ,Outpatient Facility
11072,,8940,,176042951, 
11088,,8940,,307250233, 
11104,,8940,,913423299, 
11121,,8940,,116918939, 
11136,,8940,,388025882, 
11153,,8940,,039978915, 
11169,,8940,,202839028, 
11186,,8940,,481236008, 
11199,,8940,,048811162, 
11215,,8940,,402880078, 
11233,,8940,,893418296, 
11251,,8940,,371314098, 
11263,,8940,,888468412, 
11279,,8940,,935542600, 
11297,,8940,,151370394, 
11312,,8940,,909011698, 
11328,,8940,,243776731, 
11344,,8756,,4225MP,Outpatient Facility
11360,,8940,,908204115, 
11377,,8940,,276330945, 
11394,,8940,,568849801, 
11410,,8940,,835146495, 
11423,,8940,,698369012, 
11442,,8940,,495569968, 
11458,,8756,,4935BG,Outpatient Facility
11472,,8940,,939994919, 
11486,,8940,,640522182, 
11502,,8940,,652965007, 
11521,,8940,,347996351, 
11537,,8940,,460327272, 
11552,,8940,,623881292, 
11568,,8940,,134019146, 
11584,,8940,,818372839, 
11602,,8940,,009689833, 
11617,,8940,,239923195, 
11631,,8940,,829531623, 
11649,,8940,,795201584, 
11662,,8940,,611306279, 
11681,,8940,,125622092, 
11696,,8940,,665265333, 
11709,,8940,,952419722, 
11729,,8756,,1100DK,Outpatient Facility
11741,,8940,,240074118, 
11760,,8940,,886251618, 
11778,,8940,,403876990, 
11790,,8940,,411364842, 
11806,,8940,,675655786, 
11825,,8940,,551765470, 
11840,,8940,,608248317, 
11854,,8940,,324743925, 
11871,,8940,,373639606, 
11887,,8940,,345842270, 
11905,,8940,,350344823, 
11921,,8940,,381361306, 
11936,,8940,,521206937, 
11951,,8940,,532410083, 
11968,,8940,,081624705, 
11986,,8940,,910963227, 
11998,,8756,,3400YP,Outpatient Facility
12015,,8940,,681405143, 
12034,,8940,,581869514, 
12048,,8940,,051507589, 
12061,,8940,,924972792, 
12080,,8940,,293617633, 
12095,,8940,,046522624, 
12111,,8940,,280210214, 
12127,,8940,,222985214, 
12144,,8940,,330792986, 
12157,,8940,,236436622, 
12175,,8940,,899419063, 
12188,,8940,,516059682, 
12208,,8940,,657944168, 
12223,,8717,,37S0XM,Inpatient Facility
12239,,8940,,462387957, 
12255,,8940,,918870491, 
12271,,8940,,856167182, 
12286,,8940,,138553606, 
12303,,8940,,854215675, 
12318,,8940,,019513084, 
12337,,8940,,038464616, 
12351,,8940,,519966624, 
12368,,8940,,388298756, 
12384,,8940,,648633053, 
12399,,8940,,404801362, 
12413,,8756,,3400RN,Outpatient Facility
12431,,8940,,145942638, 
12449,,8940,,304784206, 
12466,,8940,,189651964, 
12479,,8940,,717588055, 
12497,,8940,,424355034, 
12512,,8940,,315873859, 
12527,,8756,,1000BA,Outpatient Facility
12543,,8940,,056243694, 
12559,,8940,,923456534, 
12576,,8940,,915698940, 
12589,,8940,,271619746, 
12609,,8940,,486015612, 
12621,,8940,,238311563, 
12639,,8940,,775123395, 
12656,,8756,,3901KA,Outpatient Facility
12671,,8940,,313810889, 
12688,,8940,,633837035, 
12703,,8940,,123368398, 
12717,,8940,,058098064, 
12735,,8940,,844366704, 
12751,,8940,,100804409, 
12767,,8940,,902910266, 
12784,,8940,,649783142, 
12799,,8940,,078072926, 
12818,,8940,,565223395, 
12830,,8940,,811883097, 
12846,,8940,,714356836, 
12861,,8940,,224810167, 
12876,,8940,,335252546, 
12893,,8940,,616387293, 
12913,,8940,,855207779, 
12926,,8940,,506969481, 
12941,,8940,,308349694, 
12959,,8756,,05006B,Outpatient Facility
12973,,8940,,116532328, 
12988,,8940,,199769099, 
13007,,8940,,618554986, 
13023,,8940,,606016531, 
13039,,8940,,034131329, 
13053,,8940,,131431965, 
13069,,8940,,666437258, 
13084,,8940,,590085164, 
13104,,8940,,545681096, 
13121,,8940,,003138978, 
13133,,8940,,241145196, 
13150,,8940,,002244720, 
13168,,8940,,069688339, 
13183,,8940,,820962555, 
13200,,8940,,644882311, 
13215,,8756,,2413UG,Outpatient Facility
13231,,8756,,1300DP,Outpatient Facility
13247,,8940,,618223492, 
13262,,8940,,910029728, 
13277,,8940,,172403174, 
13295,,8940,,511144569, 
13310,,8940,,548021303, 
13327,,8940,,178504905, 
13345,,8940,,744787636, 
13359,,8940,,218431775, 
13374,,8940,,219503876, 
13388,,8940,,684242221, 
13407,,8940,,071731366, 
13421,,8940,,985266292, 
13438,,8940,,618022385, 
13457,,8940,,528928654, 
13473,,8940,,177448086, 
13485,,8940,,446838001, 
13503,,8940,,153027384, 
13522,,8940,,315265979, 
13535,,8940,,431151079, 
13550,,8940,,537363053, 
13566,,8940,,516173647, 
13581,,8940,,554756561, 
13599,,8940,,061827541, 
13614,,8940,,293432602, 
13629,,8940,,532125599, 
13647,,8940,,791441026, 
13659,,8940,,349943843, 
13680,,8940,,387953893, 
13695,,8940,,514775594, 
13711,,8940,,786823091, 
13728,,8940,,377318764, 
13743,,8940,,004446166, 
13758,,8940,,391253736, 
13776,,8940,,416646216, 
13791,,8940,,800760909, 
13806,,8756,,3425UM,Outpatient Facility
13823,,8940,,900068076, 
13839,,8717,,0600SN,Inpatient Facility
13856,,8940,,038372461, 
13870,,8940,,547100515, 
13886,,8940,,055629627, 
13903,,8940,,768512613, 
13920,,8940,,506673610, 
13936,,8940,,034739061, 
13949,,8940,,012156736, 
13965,,8940,,490687218, 
13982,,8756,,3900UM,Outpatient Facility
13999,,8940,,636390084, 
14013,,8940,,057867014, 
14031,,8940,,646484053, 
14047,,8940,,304067788, 
14064,,8756,,1401VP,Outpatient Facility
14078,,8940,,440750739, 
14094,,8940,,901872637, 
14111,,8940,,633792968, 
14126,,8940,,502683812, 
14145,,8940,,256110693, 
14158,,8940,,236973159, 
14174,,8940,,474304926, 
14189,,8940,,590427174, 
14206,,8940,,528894526, 
14223,,8940,,219733300, 
14239,,8940,,634589223, 
14254,,8940,,952291349, 
14273,,8940,,251793082, 
14286,,8940,,183859988, 
14302,,8940,,217790163, 
14318,,8940,,787831921, 
14335,,8940,,733417745, 
14349,,8940,,622979985, 
14366,,8940,,463185592, 
14381,,8940,,168242533, 
14399,,8940,,449496720, 
14413,,8940,,384023024, 
14429,,8940,,037159241, 
14447,,8940,,522367108, 
14462,,8756,,2500BQ,Outpatient Facility
14479,,8940,,438849887, 
14495,,8940,,163133613, 
14509,,8940,,631901633, 
14527,,8940,,278230798, 
14541,,8940,,098011051, 
14560,,8940,,841919828, 
14576,,8756,,3425CA,Outpatient Facility
14589,,8940,,182182263, 
14608,,8940,,402767087, 
14624,,8940,,785015382, 
14639,,8940,,785377789, 
14655,,8940,,896349723, 
14670,,8756,,4600VB,Outpatient Facility
14686,,8940,,197594542, 
14704,,8940,,078141671, 
14718,,8940,,989951088, 
14734,,8940,,605004829, 
14752,,8940,,815213350, 
14766,,8940,,444932913, 
14781,,8940,,019596866, 
14797,,8940,,828970108, 
14815,,8940,,710880493, 
14829,,8940,,305343758, 
14847,,8940,,759944040, 
14861,,8940,,066183753, 
14879,,8940,,141612396, 
14895,,8940,,137912969, 
14912,,8940,,690496412, 
14927,,8940,,662253376, 
14942,,8940,,818265868, 
14958,,8940,,248237449, 
14975,,8940,,297777405, 
14992,,8940,,009375197, 
15007,,8940,,256933881, 
15022,,8940,,073485098, 
15039,,8940,,774912708, 
15053,,8940,,751445742, 
15072,,8940,,836016167, 
15088,,8940,,920117810, 
15103,,8940,,855531587, 
15120,,8940,,953800241, 
15135,,8940,,541652808, 
15148,,8940,,696545840, 
